fsid,name,fips,lsad,longitude,latitude,properties,atRisk
39001,Adams,39001,None,-83.47215178,38.845514928,20919,3344
39003,Allen,39003,None,-84.105779432,40.771520708,52714,4460
39005,Ashland,39005,None,-82.270692771,40.846024193,31992,3133
39007,Ashtabula,39007,None,-80.759010793,41.896381141,74998,5553
39009,Athens,39009,None,-82.045128893,39.333863211,40867,13836
39011,Auglaize,39011,None,-84.221738715,40.560911297,28181,2974
39013,Belmont,39013,None,-80.988542447,40.015800167,59829,15623
39015,Brown,39015,None,-83.867427918,38.934047656,35464,5047
39017,Butler,39017,None,-84.575644932,39.438616476,163672,17138
39019,Carroll,39019,None,-81.089716537,40.579591501,28269,3765
39021,Champaign,39021,None,-83.769496956,40.137674362,25856,3324
39023,Clark,39023,None,-83.783889727,39.916777916,66528,5451
39025,Clermont,39025,None,-84.151917889,39.047432931,96214,8985
39027,Clinton,39027,None,-83.808378857,39.414978009,25738,2334
39029,Columbiana,39029,None,-80.77718656,40.768427748,75471,9693
39031,Coshocton,39031,None,-81.920010737,40.301641377,27206,5210
39033,Crawford,39033,None,-82.919777702,40.850772573,33540,3716
39035,Cuyahoga,39035,None,-81.700195929,41.635059059,536481,32840
39037,Darke,39037,None,-84.619319136,40.133223975,30034,2548
39039,Defiance,39039,None,-84.490495121,41.323916096,26349,6172
39041,Delaware,39041,None,-83.004885357,40.278393617,85843,5893
39043,Erie,39043,None,-82.576315092,41.470572644,45896,5062
39045,Fairfield,39045,None,-82.630588918,39.751598854,71038,8753
39047,Fayette,39047,None,-83.456097278,39.559883003,17706,1977
39049,Franklin,39049,None,-83.00929814,39.96954599,437606,29195
39051,Fulton,39051,None,-84.130079524,41.60179891,23110,2086
39053,Gallia,39053,None,-82.316909885,38.824674914,24442,8718
39055,Geauga,39055,None,-81.178654604,41.499541659,50733,2863
39057,Greene,39057,None,-83.889886752,39.69148045,74778,5199
39059,Guernsey,39059,None,-81.494256221,40.052053649,40384,4854
39061,Hamilton,39061,None,-84.542769713,39.195533019,418471,45266
39063,Hancock,39063,None,-83.666535814,41.001935244,37919,8154
39065,Hardin,39065,None,-83.659435017,40.661510323,25337,3581
39067,Harrison,39067,None,-81.091135877,40.293838935,17618,2806
39069,Henry,39069,None,-84.068230421,41.333885166,19402,4931
39071,Highland,39071,None,-83.600972097,39.184740343,32316,2403
39073,Hocking,39073,None,-82.479253562,39.497023837,20369,4701
39075,Holmes,39075,None,-81.929359499,40.561195332,27375,3650
39077,Huron,39077,None,-82.598408277,41.146153927,39824,4225
39079,Jackson,39079,None,-82.618382939,39.019672189,29594,4860
39081,Jefferson,39081,None,-80.760972299,40.385019513,55942,12518
39083,Knox,39083,None,-82.42153375,40.398765245,41364,4537
39085,Lake,39085,None,-81.250939242,41.910352134,109691,10117
39087,Lawrence,39087,None,-82.53675241,38.598469246,54570,24260
39089,Licking,39089,None,-82.483100924,40.091607924,81154,9326
39091,Logan,39091,None,-83.765871762,40.388452981,36171,4277
39093,Lorain,39093,None,-82.15149048,41.452511524,165730,13291
39095,Lucas,39095,None,-83.468274782,41.684190704,192200,24497
39097,Madison,39097,None,-83.400198828,39.894029819,21515,1718
39099,Mahoning,39099,None,-80.77629506,41.014640114,159521,7270
39101,Marion,39101,None,-83.160871206,40.587191005,34620,3961
39103,Medina,39103,None,-81.899709385,41.117589382,83537,5221
39105,Meigs,39105,None,-82.022900501,39.082240865,27492,11267
39107,Mercer,39107,None,-84.629360342,40.540011365,25948,2340
39109,Miami,39109,None,-84.22887177,40.053475508,51518,6868
39111,Monroe,39111,None,-81.082917709,39.727347081,16365,3062
39113,Montgomery,39113,None,-84.290650203,39.754609343,274173,29004
39115,Morgan,39115,None,-81.852661901,39.620373474,19384,4053
39117,Morrow,39117,None,-82.794067788,40.524086523,26751,2164
39119,Muskingum,39119,None,-81.944382661,39.965421851,56957,9217
39121,Noble,39121,None,-81.455560606,39.765958869,15479,2521
39123,Ottawa,39123,None,-83.019977892,41.593900709,41210,7289
39125,Paulding,39125,None,-84.580194559,41.11662083,9360,1346
39127,Perry,39127,None,-82.236137928,39.737148311,24496,3912
39129,Pickaway,39129,None,-83.024391632,39.641941097,28077,2642
39131,Pike,39131,None,-83.066854156,39.077371442,24089,4989
39133,Portage,39133,None,-81.197403739,41.167682841,73206,5455
39135,Preble,39135,None,-84.648014666,39.741527064,24453,2187
39137,Putnam,39137,None,-84.131731929,41.022080727,29817,4155
39139,Richland,39139,None,-82.536484395,40.774684338,73089,6602
39141,Ross,39141,None,-83.057025581,39.337627729,42302,7680
39143,Sandusky,39143,None,-83.14391569,41.357416427,32893,7440
39145,Scioto,39145,None,-82.992831025,38.803961942,56941,17715
39147,Seneca,39147,None,-83.127705441,41.123879577,35843,6987
39149,Shelby,39149,None,-84.204742782,40.331525183,30915,3626
39151,Stark,39151,None,-81.36563635,40.813887871,202452,19863
39153,Summit,39153,None,-81.532167006,41.125978641,259309,19254
39155,Trumbull,39155,None,-80.761160266,41.317174091,134489,10798
39157,Tuscarawas,39157,None,-81.473769552,40.440959915,59795,11419
39159,Union,39159,None,-83.371581118,40.299403374,30168,2707
39161,Van Wert,39161,None,-84.586099125,40.85539824,19296,2890
39163,Vinton,39163,None,-82.485350057,39.250984979,12768,2181
39165,Warren,39165,None,-84.166755411,39.427584855,100097,7575
39167,Washington,39167,None,-81.495254428,39.455316193,57840,20647
39169,Wayne,39169,None,-81.888031346,40.828867381,56975,4585
39171,Williams,39171,None,-84.588137894,41.560287579,25456,2169
39173,Wood,39173,None,-83.622977927,41.361707882,70744,14295
39175,Wyandot,39175,None,-83.304372505,40.84236898,19021,2223
