fsid,name,state_name,state_fsid,properties,lsad,longitude,latitude
3913358,Chagrin Falls,Ohio,39,2135,47,-81.3886838966,41.4319927445
3913484,Champion Heights,Ohio,39,3311,57,-80.8513800694,41.3031090335
3913554,Chardon,Ohio,39,2585,25,-81.2081257747,41.5802530221
3913694,Chatfield,Ohio,39,216,47,-82.9413682318,40.9518256888
3913778,Chauncey,Ohio,39,778,47,-82.1260521474,39.4005231383
3913834,Cherry Fork,Ohio,39,122,57,-83.612551065,38.88715422
3913848,Cherry Grove,Ohio,39,1718,57,-84.3219679283,39.0802280904
3913904,Chesapeake,Ohio,39,978,47,-82.4487142601,38.4298164424
3913932,Cheshire,Ohio,39,311,47,-82.1130102443,38.9504091951
3914086,Chesterhill,Ohio,39,371,47,-81.8667140554,39.4907194153
3914100,Chesterland,Ohio,39,1271,57,-81.3362913265,41.5212589462
3914114,Chesterville,Ohio,39,199,47,-82.6817601689,40.4776949995
3914128,Cheviot,Ohio,39,4037,25,-84.6138219519,39.1577420035
3914156,Chickasaw,Ohio,39,312,47,-84.4936375102,40.4365898756
3914184,Chillicothe,Ohio,39,12174,25,-82.9936874178,39.3393216798
3914226,Chilo,Ohio,39,240,47,-84.1373188585,38.7933981083
3914254,Chippewa Lake,Ohio,39,685,47,-81.9046829116,41.0737045869
3914280,Chippewa Park,Ohio,39,2305,57,-83.8875252811,40.5160366442
3914288,Choctaw Lake,Ohio,39,844,57,-83.4877438731,39.9607818564
3914296,Christiansburg,Ohio,39,373,47,-84.0255355105,40.0567472735
3914324,Churchill,Ohio,39,2122,57,-80.66597612,41.1691831771
3915000,Cincinnati,Ohio,39,163759,25,-84.5059743104,39.1411633528
3915008,Cinnamon Lake,Ohio,39,1789,57,-82.191344984,40.9835087642
3915070,Circleville,Ohio,39,5770,25,-82.9334493745,39.6061399376
3915210,Clarington,Ohio,39,459,47,-80.8647753653,39.7763214514
3915336,Clarksburg,Ohio,39,296,47,-83.1540809,39.5058983201
3915406,Clarksville,Ohio,39,360,47,-83.9828279717,39.4016463055
3915434,Clarktown,Ohio,39,753,57,-82.9085362091,38.8497961616
3915588,Clay Center,Ohio,39,204,47,-83.3642872305,41.5732267797
3915644,Clayton,Ohio,39,6314,25,-84.3291704181,39.8689148555
3916000,Cleveland,Ohio,39,170702,25,-81.6802294933,41.4792632806
3916014,Cleveland Heights,Ohio,39,16849,25,-81.5635743025,41.5112376315
3916028,Cleves,Ohio,39,1856,47,-84.746363851,39.1632565409
3916056,Clifton,Ohio,39,162,47,-83.8257486416,39.7971288361
3916182,Clinton,Ohio,39,918,47,-81.6305540028,40.9283849557
3916266,Cloverdale,Ohio,39,196,47,-84.3036729406,41.0192470695
3916308,Clyde,Ohio,39,2976,25,-82.9781462902,41.304490523
3916378,Coal Grove,Ohio,39,1882,47,-82.6423191916,38.4976200624
3916434,Coalton,Ohio,39,572,47,-82.6108110676,39.1117567245
3916521,Coldstream,Ohio,39,840,57,-84.347350064,39.0479871156
3916532,Coldwater,Ohio,39,2180,47,-84.631669611,40.4833004382
3916700,College Corner,Ohio,39,243,47,-84.8108708098,39.5682633491
3916784,Collins,Ohio,39,502,57,-82.4914793667,41.2508315335
3917036,Columbiana,Ohio,39,4271,25,-80.6749037167,40.8870979594
3918000,Columbus,Ohio,39,275876,25,-82.9851257753,39.9860265796
3918014,Columbus Grove,Ohio,39,1425,47,-84.0594601463,40.9190327041
3918070,Commercial Point,Ohio,39,946,47,-83.0621292774,39.7723675198
3918244,Concorde Hills,Ohio,39,281,57,-84.3570830248,39.2106242546
3918266,Conesville,Ohio,39,251,47,-81.8917884839,40.1849973326
3918308,Congress,Ohio,39,146,47,-82.0558579832,40.9251808325
3918350,Conneaut,Ohio,39,8432,25,-80.5685300732,41.9277873847
3918420,Connorville,Ohio,39,133,57,-80.7176064385,40.1937018702
3918504,Continental,Ohio,39,914,47,-84.2692261559,41.0997068853
3918546,Convoy,Ohio,39,599,47,-84.7052877637,40.9179050984
3918588,Coolville,Ohio,39,493,47,-81.7978087556,39.2201372459
3918770,Corning,Ohio,39,795,47,-82.0875665737,39.6016714787
3918812,Cortland,Ohio,39,2895,25,-80.7191880547,41.331794758
3918840,Corwin,Ohio,39,293,47,-84.0677369622,39.5248493507
3918868,Coshocton,Ohio,39,6814,25,-81.8479214462,40.2618438969
3919008,Covedale,Ohio,39,3206,57,-84.6361423039,39.1266478263
3919050,Covington,Ohio,39,1445,47,-84.3508666882,40.1173843469
3919106,Craig Beach,Ohio,39,1774,47,-80.9827196286,41.115989837
3919330,Crestline,Ohio,39,3042,47,-82.7455556549,40.7835608565
3919344,Creston,Ohio,39,1114,47,-81.9000175703,40.9763374903
3919400,Cridersville,Ohio,39,748,47,-84.145998532,40.6512390197
3919456,Crooksville,Ohio,39,1365,47,-82.0955425959,39.7691630356
3919554,Crown City,Ohio,39,351,47,-82.2911233354,38.5899646737
3919596,Crystal Lakes,Ohio,39,1194,57,-84.0242796883,39.886238413
3919694,Cumberland,Ohio,39,326,47,-81.6587225732,39.8532806701
3919736,Curtice,Ohio,39,870,57,-83.3742702107,41.6159110883
3919750,Custar,Ohio,39,252,47,-83.8438097037,41.2845958994
3919778,Cuyahoga Falls,Ohio,39,22375,25,-81.5206013451,41.1640865978
3919806,Cuyahoga Heights,Ohio,39,541,47,-81.6562143789,41.4350141507
3919820,Cygnet,Ohio,39,638,47,-83.6437437169,41.2406824982
3919974,Dalton,Ohio,39,1082,47,-81.7037798436,40.799210332
3920030,Damascus,Ohio,39,331,57,-80.9523461387,40.9042323659
3920114,Danville,Ohio,39,707,47,-82.2607176893,40.4470976319
3920198,Darbydale,Ohio,39,477,57,-83.1794731051,39.854470733
3920212,Darbyville,Ohio,39,150,47,-83.1138383016,39.6957230628
3920268,Darrtown,Ohio,39,348,57,-84.6690342832,39.4974747359
3920366,Day Heights,Ohio,39,1267,57,-84.2274644081,39.1754985059
3921000,Dayton,Ohio,39,88577,25,-84.199787041,39.7797632887
3921266,Deer Park,Ohio,39,3358,25,-84.3975008936,39.203704165
3921308,Defiance,Ohio,39,9571,25,-84.3659739587,41.2809567075
3921378,De Graff,Ohio,39,736,47,-83.9166533417,40.3126948591
3921434,Delaware,Ohio,39,14314,25,-83.0747246583,40.2866421965
3921518,Delhi Hills,Ohio,39,2234,57,-84.6176268708,39.0870896948
3921560,Dellroy,Ohio,39,302,47,-81.1992189539,40.5550330089
3921602,Delphos,Ohio,39,3267,25,-84.3368336633,40.8479948326
3921610,Delshire,Ohio,39,1133,57,-84.5949619348,39.0884946491
3921616,Delta,Ohio,39,1462,47,-84.0050279529,41.5752923824
3921714,Dennison,Ohio,39,1596,47,-81.3273716933,40.3972080729
3921742,Dent,Ohio,39,5635,57,-84.6593006449,39.1921920398
3921784,Derby,Ohio,39,255,57,-83.206807728,39.7640188906
3921812,Deshler,Ohio,39,984,47,-83.9055477978,41.2074491117
3921868,Devola,Ohio,39,2215,57,-81.4679857513,39.4739129842
3921910,Dexter City,Ohio,39,157,47,-81.4738808705,39.6592656168
3922008,Dillonvale,Ohio,39,1675,57,-84.4030374331,39.2172304317
3922022,Dillonvale,Ohio,39,631,47,-80.7756594607,40.198532072
3922260,Dola,Ohio,39,203,57,-83.6989324665,40.7847696937
3922288,Donnelsville,Ohio,39,167,47,-83.9431989242,39.9159345558
3922456,Dover,Ohio,39,6207,25,-81.4805579181,40.5303165403
3922568,Doylestown,Ohio,39,1590,47,-81.695719585,40.9698526582
3922610,Dresden,Ohio,39,972,47,-82.0130444839,40.121985866
3922624,Drexel,Ohio,39,2272,57,-84.2930337086,39.738161537
3922660,Dry Ridge,Ohio,39,1746,57,-84.6338695283,39.2587263091
3922674,Dry Run,Ohio,39,3028,57,-84.3307584901,39.1047358126
3922694,Dublin,Ohio,39,17664,25,-83.1452237442,40.111165801
3922820,Duncan Falls,Ohio,39,779,57,-81.911200285,39.8777249051
3922848,Dundee,Ohio,39,191,57,-81.6069405985,40.5868149447
3922946,Dunkirk,Ohio,39,786,47,-83.6429787144,40.7879716829
3922960,Dunlap,Ohio,39,1102,57,-84.6302462577,39.2908113275
3922974,Dupont,Ohio,39,315,47,-84.3010037716,41.0546674803
3923324,East Canton,Ohio,39,926,47,-81.2836629295,40.7889831103
3923380,East Cleveland,Ohio,39,7247,25,-81.5795004324,41.5317801343
3923534,East Fultonham,Ohio,39,375,57,-82.1220889377,39.8471827793
3923618,Eastlake,Ohio,39,8968,25,-81.4322439303,41.6582518635
3923702,East Liberty,Ohio,39,264,57,-83.585018623,40.3339377613
3923730,East Liverpool,Ohio,39,9814,25,-80.5677701026,40.6332462288
3923940,East Palestine,Ohio,39,3045,47,-80.5466076962,40.839067191
3924024,East Rochester,Ohio,39,169,57,-81.0399374278,40.7494853865
3924052,East Sparta,Ohio,39,550,47,-81.362704894,40.6637061429
3924066,East Springfield,Ohio,39,241,57,-80.8599239718,40.4473881147
3924234,Eaton,Ohio,39,4128,25,-84.6342166845,39.7506168769
3924262,Eaton Estates,Ohio,39,495,57,-82.0114318772,41.3060784856
3924486,Edgerton,Ohio,39,1052,47,-84.7496590936,41.4497260131
3924542,Edgewood,Ohio,39,2590,57,-80.7460454091,41.8783951985
3924598,Edison,Ohio,39,381,47,-82.8631909766,40.5582543612
3924640,Edon,Ohio,39,576,47,-84.7695521257,41.5561454962
3924766,Eldorado,Ohio,39,389,47,-84.675330829,39.9042563693
3924794,Elgin,Ohio,39,68,47,-84.4760018286,40.7425642651
3924808,Elida,Ohio,39,927,47,-84.1996567642,40.7867705801
3924850,Elizabethtown,Ohio,39,258,57,-84.803876422,39.1620070228
3925144,Elmore,Ohio,39,850,47,-83.2911852623,41.4705661981
3925186,Elmwood Place,Ohio,39,1328,47,-84.4888763903,39.1854493544
3925256,Elyria,Ohio,39,24193,25,-82.1062845694,41.3761175897
3925368,Empire,Ohio,39,330,47,-80.626117742,40.5116853177
3925396,Englewood,Ohio,39,5978,25,-84.3070461041,39.8643491156
3925452,Enon,Ohio,39,1067,47,-83.9329853455,39.8653505186
3925676,Etna,Ohio,39,492,57,-82.6878157129,39.954218154
3925704,Euclid,Ohio,39,19564,25,-81.5190161111,41.5923513731
3925802,Evendale,Ohio,39,1826,47,-84.4264634144,39.2507571451
3925914,Fairborn,Ohio,39,14038,25,-84.0092829689,39.8010803881
3925942,Fairfax,Ohio,39,1412,47,-84.397109638,39.1432003236
3925970,Fairfield,Ohio,39,15770,25,-84.5404668303,39.3300907365
3926110,Fairfield Beach,Ohio,39,1662,57,-82.4791167633,39.9182632136
3926166,Fairlawn,Ohio,39,3310,25,-81.621270035,41.1269548696
3926306,Fairport Harbor,Ohio,39,1655,47,-81.273103366,41.7476033418
3926348,Fairview,Ohio,39,170,47,-81.2349390692,40.0573487751
3926446,Fairview Park,Ohio,39,7023,25,-81.8529703502,41.4419756634
3926656,Farmersville,Ohio,39,545,47,-84.4274311365,39.6787029743
3926768,Fayette,Ohio,39,668,47,-84.3283319716,41.6728518414
3926796,Fayetteville,Ohio,39,425,47,-83.93174909,39.1848357288
3927048,Findlay,Ohio,39,16380,25,-83.6379243643,41.0467132297
3927104,Finneytown,Ohio,39,6461,57,-84.5145493888,39.2159501946
3927303,Five Points,Ohio,39,909,57,-84.1867815495,39.5594861222
3927356,Flat Rock,Ohio,39,149,57,-82.8591567535,41.2354900925
3927412,Fletcher,Ohio,39,422,47,-84.1118739063,40.1417880617
3927538,Florida,Ohio,39,188,47,-84.2002094208,41.3237872492
3927552,Flushing,Ohio,39,716,47,-81.0643736694,40.1481621364
3927636,Forest,Ohio,39,1229,47,-83.5115449303,40.8051955476
3927706,Forest Park,Ohio,39,6336,25,-84.5256949743,39.2860197053
3927776,Forestville,Ohio,39,4691,57,-84.3388789068,39.0711315992
3927818,Fort Jennings,Ohio,39,427,47,-84.2996232857,40.9064495767
3927832,Fort Loramie,Ohio,39,962,47,-84.3695144414,40.3442451876
3927902,Fort Recovery,Ohio,39,949,47,-84.7759052299,40.4110850442
3927930,Fort Seneca,Ohio,39,145,57,-83.167968099,41.204327903
3927944,Fort Shawnee,Ohio,39,2898,57,-84.1486979905,40.6814347335
3928014,Fostoria,Ohio,39,7300,25,-83.4119325021,41.1601619717
3928058,Four Bridges,Ohio,39,1083,57,-84.3542371366,39.3828071857
3928182,Frankfort,Ohio,39,714,47,-83.1841816689,39.4068544025
3928476,Franklin,Ohio,39,4885,25,-84.2950081007,39.5538293391
3928532,Franklin Furnace,Ohio,39,1343,57,-82.8440794991,38.6117034973
3928574,Frazeysburg,Ohio,39,614,47,-82.1171396098,40.1182338236
3928616,Fredericksburg,Ohio,39,348,47,-81.8692668431,40.6771283883
3928658,Fredericktown,Ohio,39,1471,47,-82.5486976765,40.4784825634
3928798,Freeport,Ohio,39,370,47,-81.268724893,40.2109829946
3928826,Fremont,Ohio,39,7068,25,-83.1146300107,41.3532743086
3928882,Fresno,Ohio,39,104,57,-81.7386274004,40.330801861
3928896,Friendship,Ohio,39,318,57,-83.1004658621,38.6979758503
3928966,Fruit Hill,Ohio,39,1685,57,-84.3670119772,39.0698154868
3929050,Fulton,Ohio,39,248,47,-82.8284615391,40.4630609217
3929106,Gahanna,Ohio,39,13056,25,-82.8637569165,40.0251711769
3929148,Galena,Ohio,39,403,47,-82.8802867309,40.2219416529
3929162,Galion,Ohio,39,6733,25,-82.778645206,40.7382727959
3929204,Gallipolis,Ohio,39,2978,47,-82.1932114895,38.818620675
3929246,Gambier,Ohio,39,363,47,-82.3948287585,40.3763634261
3929288,Gann,Ohio,39,142,47,-82.1913382814,40.469194497
3929428,Garfield Heights,Ohio,39,12920,25,-81.6037564323,41.4199373682
3929442,Garrettsville,Ohio,39,1271,47,-81.0932421568,41.2843093547
3929498,Gates Mills,Ohio,39,1327,47,-81.4099552107,41.5315281982
3929610,Geneva,Ohio,39,2840,25,-80.9461522149,41.8006645148
3929652,Geneva-on-the-Lake,Ohio,39,2225,47,-80.9492287039,41.8562135244
3929722,Genoa,Ohio,39,1354,47,-83.3615795474,41.520008614
3929778,Georgetown,Ohio,39,2633,47,-83.8992515691,38.8683397388
3929932,Germantown,Ohio,39,2994,25,-84.364508345,39.6324574295
3929974,Gettysburg,Ohio,39,262,47,-84.4963806129,40.1155750641
3930072,Gibsonburg,Ohio,39,1259,47,-83.3216762519,41.3875289244
3930114,Gilboa,Ohio,39,190,47,-83.9217017842,41.0187723205
3930198,Girard,Ohio,39,6517,25,-80.6961514603,41.1673602853
3930282,Glandorf,Ohio,39,718,47,-84.079005016,41.0278387152
