fsid,count
3962848,1102
3962890,5
3963030,87
3963044,4
3963072,73
3963436,34
3963478,35
3963534,5
3963548,7
3963576,2
3963604,30
3963618,15
3963716,8
3963758,1
3963800,48
3963954,30
3963996,2
3964024,1925
3964108,8
3964136,335
3964150,265
3964262,75
3964304,2241
3964346,37
3964360,15
3964430,2
3964472,290
3964486,167
3964542,899
3964766,579
3964780,312
3964906,2
3965032,34
3965116,216
3965200,18
3965256,305
3965298,4
3965508,62
3965592,280
3965634,15
3965662,273
3965676,7
3965732,738
3966152,153
3966180,28
3966222,66
3966250,407
3966320,15
3966390,278
3966530,58
3966824,11
3966880,22
3966894,41
3966922,33
3966936,84
3967104,39
3967118,45
3967258,48
3967272,786
3967314,29
3967356,287
3967440,4
3967468,851
3967600,82
3967664,35
3967762,11
3967804,79
3967846,29
3967874,19
3968004,14
3968042,1
3968056,239
3968084,32
3968196,5
3968448,60
3968546,397
3968560,47
3968602,635
3968672,2
3968686,197
3968714,39
3968742,108
3968938,117
3969176,12
3969302,38
3969316,9
3969344,44
3969358,283
3969400,89
3969470,289
3969526,139
3969540,79
3969596,24
3969652,14
3969666,12
3969680,182
3969708,126
3969834,200
3970050,48
3970072,36
3970100,303
3970380,794
3970464,7
3970520,3
3970534,11
3970548,106
3970576,5
3970618,53
3970814,102
3970912,108
3971080,58
3971206,18
3971220,166
3971360,40
3971416,136
3971444,28
3971486,136
3971640,1027
3971682,219
3971892,393
3971958,148
3971962,105
3971976,91
3971983,60
3972060,148
3972088,122
3972102,285
3972242,154
3972256,47
3972258,59
3972298,12
3972396,72
3972424,481
3972494,104
3972522,123
3972578,36
3972620,21
3972648,17
3972760,6
3972788,66
3972928,350
3972977,8
3972998,80
3973040,40
3973068,41
3973118,138
3973124,18
3973264,285
3973446,242
3973670,649
3973684,73
3973698,6
3973796,4
3973824,45
3973894,101
3973950,0
3973992,9
3974034,235
3974076,197
3974104,84
3974118,1379
3974216,91
3974566,33
3974608,1107
3974622,121
3974734,20
3974748,62
3974804,107
3974832,60
3974846,16
3974916,29
3974944,1048
3974958,236
3975000,225
3975014,259
3975098,459
3975126,144
3975140,56
3975196,3
3975210,129
3975252,29
3975392,17
3975406,10
3975434,22
3975574,6
3975602,108
3975896,162
3975980,33
3976022,228
3976050,349
3976106,240
3976148,28
3976197,301
3976428,93
3976568,97
3976582,304
3976666,110
3976680,6
3976764,14
3976778,1422
3976806,967
3976834,15
3976876,171
3976890,17
3976932,38
3977000,5924
3977070,20
3977112,1207
3977308,16
3977322,291
3977406,282
3977434,18
3977504,419
3977588,1035
3977812,9
3977840,133
3977924,75
3978050,339
3978176,319
3978470,91
3978624,11
3978736,120
3978834,4
3978848,13
3978932,174
3979002,256
3979044,247
3979072,895
3979100,43
3979114,124
3979184,49
3979226,54
3979268,487
3979282,22
3979394,8
3979492,198
3979534,23
3979562,561
3979590,13
3979716,674
3979898,2
3979912,56
3979982,8
3980066,11
3980150,19
3980178,127
3980304,254
3980402,38
3980458,36
3980486,546
3980500,67
3980612,13
3980738,70
3980766,437
3980892,1148
3980990,205
3981032,96
3981718,419
3981732,33
3981760,79
3981858,326
3981928,89
3981935,325
3982334,4
3982348,63
3982376,141
3982390,20
3982418,48
3982642,148
3982712,237
3982740,1329
3982880,38
3983090,740
3983216,7
3983342,478
3983384,17
3983468,25
3983541,47
3983580,119
3983608,82
3983622,457
3983706,7
3983734,122
3983804,9
3983818,32
3983888,5
3983902,87
3983930,21
3983972,35
3984140,273
3984182,3
3984196,36
3984294,38
3984308,57
3984528,23
3984574,4
3984588,552
3984742,121
3984770,109
3984812,506
3984882,87
3985036,167
3985085,14
3985092,35
3985190,10
3985232,151
3985288,109
3985344,20
3985414,19
3985442,36
3985484,523
3985512,371
3985638,127
3985736,31
3985792,378
3985806,18
3985834,5
3985876,31
3985946,28
3986072,3
3986184,104
3986254,91
3986282,370
3986366,155
3986394,18
3986436,56
3986478,11
3986492,58
3986548,463
3986604,196
3986632,26
3986730,279
3986772,599
3986940,40
3987164,2
3987178,675
3988000,1670
3988028,33
3988070,25
3988084,2934
3988168,30
