city,state,population,lat,lng,index
New York,New York,8405837,40.68863,-74.018244,0
Los Angeles,California,3884307,33.973951,-118.248405,1
Chicago,Illinois,2718782,41.88531,-87.62213,2
Houston,Texas,2195914,29.813142,-95.309789,3
Philadelphia,Pennsylvania,1553165,40.001811,-75.11787,4
Phoenix,Arizona,1513367,33.703967,-112.351835,5
San Antonio,Texas,1409019,29.468413,-98.528889,6
San Diego,California,1355896,32.724103,-117.170912,7
Dallas,Texas,1257676,32.781179,-96.790329,8
San Jose,California,998537,37.189396,-121.705327,9
Austin,Texas,885400,30.326374,-97.771258,10
Indianapolis,Indiana,843393,39.775092,-86.13216,11
Jacksonville,Florida,842583,30.337538,-81.768622,12
San Francisco,California,837442,37.776646,-122.417481,13
Columbus,Ohio,822553,40.100924,-83.013402,14
Charlotte,North Carolina,792862,35.26002,-80.804151,15
Fort Worth,Texas,792727,32.771419,-97.291484,16
Detroit,Michigan,688701,42.347021,-83.060184,17
El Paso,Texas,674433,31.763608,-106.484592,18
Memphis,Tennessee,653450,35.169255,-89.990415,19
Seattle,Washington,652405,47.432251,-121.803388,20
Denver,Colorado,649495,39.726303,-104.856808,21
Washington,District of Columbia,646449,38.911936,-77.016719,22
Boston,Massachusetts,645966,42.370567,-71.026964,23
Nashville-Davidson,Tennessee,634464,36.166001,-86.777305,24
Baltimore,Maryland,622104,39.296536,-76.623489,25
Oklahoma City,Oklahoma,610613,35.491608,-97.562817,26
Louisville/Jefferson County,Kentucky,609893,38.1884721,-85.9569614,27
Portland,Oregon,609456,45.507856,-122.690794,28
Las Vegas,Nevada,603488,36.17372,-115.10647,29
Milwaukee,Wisconsin,599164,43.011264,-87.958409,30
Albuquerque,New Mexico,556495,35.199592,-106.644831,31
Tucson,Arizona,526116,32.217975,-110.970869,32
Fresno,California,509924,36.8411,-119.801015,33
Sacramento,California,479686,38.380456,-121.555406,34
Long Beach,California,469428,33.804309,-118.200957,35
Kansas City,Missouri,467007,39.102404,-94.598583,36
Mesa,Arizona,457587,33.440695,-111.856967,37
Virginia Beach,Virginia,448479,36.844004,-76.12036,38
Atlanta,Georgia,447841,33.844371,-84.47405,39
Colorado Springs,Colorado,439886,38.861469,-104.857828,40
Omaha,Nebraska,434353,41.291736,-96.171104,41
Raleigh,North Carolina,431746,35.773632,-78.634457,42
Miami,Florida,417650,25.558428,-80.458168,43
Oakland,California,406253,37.786027,-122.223779,44
Minneapolis,Minnesota,400070,44.984577,-93.269097,45
Tulsa,Oklahoma,398121,36.039147,-95.868667,46
Cleveland,Ohio,390113,41.489381,-81.667486,47
Wichita,Kansas,386552,37.651974,-97.258997,48
Arlington,Texas,379577,32.635563,-97.148829,49
New Orleans,Louisiana,378715,29.958304,-90.077,50
Bakersfield,California,363630,35.384337,-119.020562,51
Tampa,Florida,352957,27.996097,-82.582035,52
Honolulu,Hawaii,347884,21.3282956,-157.9391558,53
Aurora,Colorado,345803,39.739249,-104.862881,54
Anaheim,California,345012,33.844983,-117.952151,55
Santa Ana,California,334227,33.74822,-117.858473,56
St. Louis,Missouri,318416,38.631501,-90.19231,57
Riverside,California,316619,33.99504,-117.373184,58
Lexington-Fayette,Kentucky,308428,38.0498,-84.458549,60
Pittsburgh,Pennsylvania,305841,40.47441,-79.950968,61
Anchorage,Alaska,300950,61.220018,-149.855702,62
Stockton,California,298118,37.672196,-121.298794,63
Cincinnati,Ohio,297517,39.166759,-84.53822,64
St. Paul,Minnesota,294873,44.951483,-93.090649,65
Toledo,Ohio,282313,41.720684,-83.569359,66
Greensboro,North Carolina,279639,36.069144,-79.765156,67
Newark,New Jersey,278427,40.736101,-74.22509,68
Plano,Texas,274409,33.056756,-96.730831,69
Henderson,Nevada,270811,35.927901,-114.972061,70
Lincoln,Nebraska,268738,40.865142,-96.823133,71
Buffalo,New York,258959,42.89606,-78.886424,72
Jersey City,New Jersey,257342,40.73276,-74.075485,73
Chula Vista,California,256780,33.016928,-116.846046,74
Fort Wayne,Indiana,256496,41.093763,-85.070713,75
Orlando,Florida,255483,28.545179,-81.373291,76
St. Petersburg,Florida,249688,27.775654,-82.64092,77
Chandler,Arizona,249146,33.324113,-111.878217,78
Norfolk,Virginia,246139,36.895911,-76.208521,80
Durham,North Carolina,245475,35.99924,-78.897944,81
Madison,Wisconsin,243344,43.06956,-89.423861,82
Irvine,California,236716,33.757245,-117.750414,84
Winston-Salem,North Carolina,236441,36.111102,-80.200493,85
Glendale,Arizona,234632,33.531753,-112.177935,86
Garland,Texas,234566,32.931523,-96.615821,87
Hialeah,Florida,233394,25.558428,-80.458168,88
Reno,Nevada,233294,39.525749,-119.813051,89
Chesapeake,Virginia,230571,36.749991,-76.218759,90
Gilbert,Arizona,229972,33.335401,-111.815281,91
Baton Rouge,Louisiana,229426,30.44924,-91.185607,92
Irving,Texas,228653,32.767268,-96.777626,93
Scottsdale,Arizona,226918,33.534451,-111.887354,94
North Las Vegas,Nevada,226877,36.211456,-115.124148,95
Fremont,California,224922,37.565285,-121.982721,96
Boise City,Idaho,214237,43.603267,-116.23198,97
Richmond,Virginia,214114,37.524246,-77.493157,98
San Bernardino,California,213708,34.104794,-117.29215,99
Birmingham,Alabama,212113,33.456412,-86.801904,100
Spokane,Washington,210721,47.66264,-117.435997,101
Rochester,New York,210358,43.286024,-77.684264,102
Des Moines,Iowa,207510,41.672687,-93.572173,103
Modesto,California,204933,37.669463,-121.016796,104
Fayetteville,North Carolina,204408,35.0748,-78.884257,105
