Total Properties,FEMA Properties at Risk 2020,FS 2020 100 Year Risk (total),FS 2035 100 Year Risk (total),FS 2050 100 Year Risk (total),"FS 100 year Risk Change, 2020-2050 (total)",FS 2020 500 Year Risk (total),FS 2035 500 Year Risk (total),FS 2050 500 Year Risk (total),"FS 500Risk Change, 2020-2050 (total)","FS-FEMA Difference, 2020 (total)","Properties at >99% Chance of Flooding, 2020-2050",Total Properties Protected by Adaptation,Known Adaptation Protections,state_iso2,locationName,Longitude,Latitude
637767,24944,62585,62781,62977,392,82725,83056,83387,662,37641,17720,17396,111,sd,South Dakota,-99.901813,43.969515
2562638,196922,271494,294186,316879,45385,370541,400634,430727,60186,74572,55895,14684,47,sc,South Carolina,-81.163725,33.836081
1348375,21775,113061,116974,120887,7826,200499,205693,210887,10388,91286,6647,14645,38,ut,Utah,-111.093731,39.32098
4394633,157125,347744,364946,382147,34403,454194,470629,487064,32870,190619,70524,47488,4079,ga,Georgia,-82.907123,32.157435
1882545,249723,255655,268188,280722,25067,323434,337703,351972,28538,5932,78319,164114,160,ms,Mississippi,-89.398528,32.354668
860879,29841,122579,125434,128289,5710,175291,178546,181802,6511,92738,25975,10577,86,mt,Montana,-110.362566,46.879682
3166873,157928,280239,282820,285400,5161,350228,352548,354869,4641,122311,96664,116632,372,mo,Missouri,-91.831833,37.964253
2159688,117104,193261,204318,215374,22113,284828,309961,335094,50266,76157,46760,34200,935,ma,Massachusetts,-71.382437,42.407211
1986799,96807,227003,230661,234319,7316,282682,286495,290308,7626,130196,94731,119039,44,ky,Kentucky,-84.270018,37.839333
2998100,187900,334919,345300,355682,20763,418087,428384,438682,20595,147019,93957,385000,59,al,Alabama,-86.902298,32.318231
2945926,76831,215595,217356,219118,3523,318467,320387,322307,3840,138764,42975,26169,148,mn,Minnesota,-94.6859,46.729553
4729336,124089,315568,322631,329694,14126,516760,524284,531809,15049,191479,51710,29626,77,mi,Michigan,-85.602364,44.314844
2216775,107395,168869,167542,166216,-2653,221938,222380,222822,884,61474,49792,78423,263,ok,Oklahoma,-97.092877,35.007752
3507643,168977,282546,288786,295025,12479,428618,434730,440842,12224,113569,73129,104939,128,in,Indiana,-85.602364,40.551217
2296237,43332,131245,132838,134430,3185,195945,198192,200438,4493,87913,16881,15908,46,co,Colorado,-105.782067,39.550051
2423036,152723,294023,293995,293967,-56,389775,389908,390041,266,141300,101029,53222,184,ia,Iowa,-93.097702,41.878003
1060749,60373,106659,111826,116994,10335,143025,153348,163672,20647,46286,29645,13532,2258,ct,Connecticut,-73.087749,41.603221
8942668,1719376,1833341,2003858,2174375,341034,2634129,2872947,3111765,477636,113965,313182,400000,348,fl,Florida,-81.515754,27.664827
1339505,134228,326639,329071,331503,4864,376702,379178,381653,4951,192411,174320,33698,29,wv,West Virginia,-80.454903,38.597626
335963,8287,35235,36240,37245,2010,58789,60012,61234,2445,26948,4049,14985,34,wy,Wyoming,-107.290284,43.075968
12103397,860021,1150908,1242315,1333722,182814,1998520,2057202,2115885,117365,290887,218675,554972,492,tx,Texas,-99.901813,31.968599
622576,30277,56396,57061,57726,1330,85655,86394,87134,1479,26119,12450,47688,222,nd,North Dakota,-101.002012,47.551493
1498880,98221,121147,121628,122109,962,208656,210692,212729,4073,22926,19253,145335,207,nm,New Mexico,-105.032363,34.97273
661032,29452,55652,57765,59878,4226,73242,76630,80019,6777,26200,23892,3265,148,me,Maine,-69.445469,45.253783
1901520,152904,191610,193284,194957,3347,243588,245549,247510,3922,38706,79409,129478,112,ar,Arkansas,-91.831833,35.20105
1209363,41301,44597,45968,47339,2742,126888,129558,132228,5340,3296,989,132827,17,nv,Nevada,-116.419389,38.80261
136761,0,7311,7633,7955,644,11692,12116,12541,849,7311,88,1507,125,dc,Washington DC,-77.033418,38.905985
1639277,79455,133441,134046,134650,1209,195644,196796,197949,2305,53986,29894,178597,395,ks,Kansas,-98.484246,39.011902
1130316,74366,102440,102290,102139,-301,148378,148852,149327,949,28074,23650,38611,152,ne,Nebraska,-99.901813,41.492537
423022,28922,39663,43832,48002,8339,54525,60718,66911,12386,10741,14167,52532,14,de,Delaware,-75.52767,38.910832
3220332,129491,118667,119626,120586,1919,360007,360402,360797,790,-10824,24703,761867,182,az,Arizona,-111.093731,34.048928
1004471,38047,148427,154173,159919,11492,230847,237247,243647,12800,110380,33954,18646,147,id,Idaho,-114.742041,44.068202
6145266,219885,493012,506348,519683,26671,682338,695403,708468,26130,273127,142350,78433,281,oh,Ohio,-82.907123,40.417287
5163739,205709,451693,461743,471793,20100,727807,737762,747718,19911,245984,89703,1110552,538,il,Illinois,-89.398528,40.633125
2263248,560991,477065,643415,809765,332700,893554,933251,972948,79394,-83926,68569,997303,506,la,Louisiana,-92.145024,31.244823
3374119,144008,273377,277230,281082,7705,381884,385812,389741,7857,129369,71143,3559,42,wi,Wisconsin,-88.787868,43.78444
3280056,101363,383176,389400,395624,12448,482532,488627,494722,12190,281813,135511,20006,41,tn,Tennessee,-86.580447,35.517491
