fsid,count,name,state_name,state_fsid,properties,lsad,longitude,latitude
3904094,16.0,Bascom,Ohio,39,265,57,-83.28692521239999,41.129042087399995
3904150,81.0,Batavia,Ohio,39,1287,47,-84.1718587063,39.0814979615
3904192,3.0,Batesville,Ohio,39,144,47,-81.2823633454,39.9156093505
3904416,146.0,Bay Village,Ohio,39,6883,25,-81.92853276529999,41.4885572432
3904458,31.0,Beach City,Ohio,39,616,47,-81.57973165109999,40.6531315795
3904500,139.0,Beachwood,Ohio,39,4167,25,-81.5029659129,41.4758603992
3904542,4.0,Beallsville,Ohio,39,384,47,-81.0353906845,39.8488690676
3904696,16.0,Beaver,Ohio,39,308,47,-82.8252540591,39.0319220919
3904720,739.0,Beavercreek,Ohio,39,19105,25,-84.0623817661,39.730969564
3904752,4.0,Beaverdam,Ohio,39,228,47,-83.9737883073,40.832799669699995
3904840,99.0,Beckett Ridge,Ohio,39,3772,57,-84.43803976,39.344804232899996
3904878,147.0,Bedford,Ohio,39,5985,25,-81.5358975781,41.3918571862
3904920,153.0,Bedford Heights,Ohio,39,4053,25,-81.5053181951,41.4041354796
3905013,33.0,Beechwood Trails,Ohio,39,1281,57,-82.6462965214,40.0251280421
3905074,1604.0,Bellaire,Ohio,39,3642,47,-80.74705209439999,40.0169284217
3905102,203.0,Bellbrook,Ohio,39,3087,25,-84.0862880067,39.6383509773
3905116,74.0,Belle Center,Ohio,39,503,47,-83.7453396443,40.5088860073
3905130,334.0,Bellefontaine,Ohio,39,6363,25,-83.7629962474,40.362713018899996
3905158,228.0,Belle Valley,Ohio,39,445,47,-81.5565315516,39.7888190005
3905228,1046.0,Bellevue,Ohio,39,4186,25,-82.8393425629,41.2742774215
3905284,119.0,Bellville,Ohio,39,1204,47,-82.5237060146,40.6291579619
3905312,7.0,Belmont,Ohio,39,492,47,-81.04093286850001,40.0279794124
3905410,30.0,Beloit,Ohio,39,507,47,-80.9963383219,40.9195384534
3905424,2063.0,Belpre,Ohio,39,4522,25,-81.5970473761,39.2814278522
3905550,49.0,Bentleyville,Ohio,39,393,47,-81.4120840855,41.4121763376
3905662,6.0,Benton Ridge,Ohio,39,182,47,-83.79266439220001,41.0042358385
3905676,20.0,Bentonville,Ohio,39,225,57,-83.61026690850001,38.745518518400004
3905690,146.0,Berea,Ohio,39,7741,25,-81.86428279270001,41.3696702676
3905718,105.0,Bergholz,Ohio,39,579,47,-80.8850568945,40.5207960433
3905732,25.0,Berkey,Ohio,39,232,47,-83.8383917873,41.7083466428
3905816,6.0,Berlin,Ohio,39,663,57,-81.80114137470001,40.5627328538
3905900,17.0,Berlin Heights,Ohio,39,414,47,-82.4904199062,41.320431461999995
3906068,160.0,Bethel,Ohio,39,1714,47,-84.0846564103,38.9627131384
3906138,45.0,Bethesda,Ohio,39,992,47,-81.0727623761,40.016408874
3906194,367.0,Bettsville,Ohio,39,480,47,-83.233872476,41.2440549765
3906222,244.0,Beverly,Ohio,39,1237,47,-81.6362013453,39.5499846519
3906278,117.0,Bexley,Ohio,39,4701,25,-82.9342440799,39.9650233379
3906670,439.0,Blacklick Estates,Ohio,39,3177,57,-82.8654862725,39.9049020017
3906740,25.0,Bladensburg,Ohio,39,145,57,-82.2836551762,40.2852094256
3906810,6.0,Blakeslee,Ohio,39,137,47,-84.7310869211,41.524225881199996
3906908,166.0,Blanchester,Ohio,39,2369,47,-83.97983106550001,39.2933363876
3907062,43.0,Bloomdale,Ohio,39,537,47,-83.55343654,41.1715710529
3907202,2.0,Bloomingdale,Ohio,39,146,47,-80.8178503104,40.3422279491
3907286,33.0,Bloomville,Ohio,39,652,47,-83.0136683859,41.0513732386
3907300,303.0,Blue Ash,Ohio,39,8016,25,-84.38247819760001,39.2478321912
3907377,33.0,Blue Jay,Ohio,39,858,57,-84.7441324765,39.2308242545
3907426,148.0,Bluffton,Ohio,39,1735,47,-83.8886176433,40.8912384665
3907454,394.0,Boardman,Ohio,39,16030,57,-80.6670774235,41.0333537741
3907583,21.0,Bolindale,Ohio,39,1695,57,-80.7781137389,41.2088349888
3907594,21.0,Bolivar,Ohio,39,652,47,-81.4555144458,40.6505802706
3907790,28.0,Boston Heights,Ohio,39,901,47,-81.5087464782,41.2536209434
3907832,53.0,Botkins,Ohio,39,828,47,-84.178147439,40.458539029899995
3907888,27.0,Bourneville,Ohio,39,174,57,-83.1596105879,39.2828557543
3907916,94.0,Bowerston,Ohio,39,327,47,-81.187386891,40.427261941
3907930,8.0,Bowersville,Ohio,39,248,47,-83.7233256855,39.580786785
3907972,311.0,Bowling Green,Ohio,39,9633,25,-83.6500141324,41.377285862600004
3908084,120.0,Bradford,Ohio,39,1139,47,-84.4292735149,40.131819779699995
3908112,2.0,Bradner,Ohio,39,823,47,-83.4363158438,41.3236722271
3908168,33.0,Brady Lake,Ohio,39,624,47,-81.3141935546,41.1623163405
3908336,19.0,Bratenahl,Ohio,39,951,47,-81.6056550896,41.5559981956
3908364,343.0,Brecksville,Ohio,39,6273,25,-81.61932766529999,41.307935984400004
3908378,27.0,Brecon,Ohio,39,252,57,-84.3524357135,39.2797589859
3908392,116.0,Bremen,Ohio,39,777,47,-82.4295519791,39.7060807576
3908504,98.0,Brewster,Ohio,39,1477,47,-81.59890068920001,40.7134785211
3908532,4.0,Brice,Ohio,39,89,47,-82.83182090359999,39.9173598574
3908560,711.0,Bridgeport,Ohio,39,1780,47,-80.7476156992,40.0670790103
3908602,330.0,Bridgetown,Ohio,39,7017,57,-84.6359068137,39.1551249407
3908812,272.0,Brilliant,Ohio,39,1101,57,-80.6319312623,40.2701616963
3908826,53.0,Brimfield,Ohio,39,1494,57,-81.3482402392,41.0941375664
3909064,220.0,Broadview Heights,Ohio,39,8767,25,-81.6781771113,41.3195265547
3909200,12.0,Brookfield Center,Ohio,39,769,57,-80.55576986359999,41.2386157673
3909246,114.0,Brooklyn,Ohio,39,4251,25,-81.7497939674,41.4348660347
3909274,43.0,Brooklyn Heights,Ohio,39,890,47,-81.6679900991,41.4178095206
3909288,379.0,Brook Park,Ohio,39,8543,25,-81.821746528,41.4036695356
3909316,217.0,Brookside,Ohio,39,403,47,-80.76061163189999,40.0708294175
3909358,116.0,Brookville,Ohio,39,2969,25,-84.4175584888,39.8392768165
3909596,9.0,Brownsville,Ohio,39,168,57,-82.2516558967,39.9437155341
3909680,262.0,Brunswick,Ohio,39,13728,25,-81.81974715369999,41.246501821799995
3909792,129.0,Bryan,Ohio,39,4388,25,-84.54887719,41.4710988262
3909834,209.0,Buchtel,Ohio,39,716,47,-82.1810563186,39.4633750742
3909890,102.0,Buckeye Lake,Ohio,39,1514,47,-82.4825893179,39.935482381599996
3909974,1.0,Buckland,Ohio,39,148,47,-84.2603929153,40.6240159122
3910030,663.0,Bucyrus,Ohio,39,7598,25,-82.9719163972,40.8053404006
3910128,40.0,Buffalo,Ohio,39,553,57,-81.5204181461,39.9168615135
3910156,43.0,Buford,Ohio,39,233,57,-83.8392662938,39.071988066100005
3910254,25.0,Burbank,Ohio,39,223,47,-81.9946901592,40.9863665245
3910282,38.0,Burgoon,Ohio,39,188,47,-83.2507433371,41.267413626999996
3910296,8.0,Burkettsville,Ohio,39,182,47,-84.6425149074,40.3530590572
3910352,1541.0,Burlington,Ohio,39,1995,57,-82.52838835760001,38.410002064000004
3910436,8.0,Burton,Ohio,39,605,47,-81.1455881465,41.4707638478
3910632,179.0,Butler,Ohio,39,742,47,-82.4211523977,40.589590292
3910674,20.0,Butlerville,Ohio,39,125,47,-84.0903744171,39.301618092199995
3910716,158.0,Byesville,Ohio,39,1719,47,-81.5458132497,39.9733236404
3910800,94.0,Cadiz,Ohio,39,2362,47,-80.9980311696,40.264379865900004
3910884,21.0,Cairo,Ohio,39,303,47,-84.0846914972,40.8305050787
3910926,185.0,Calcutta,Ohio,39,2356,57,-80.56239157899999,40.6847090908
3910940,75.0,Caldwell,Ohio,39,1171,47,-81.51278723909999,39.7468317648
3910954,12.0,Caledonia,Ohio,39,347,47,-82.96939142810001,40.636310906700004
3910996,659.0,Cambridge,Ohio,39,8051,25,-81.5867492943,40.0221790578
3911024,90.0,Camden,Ohio,39,976,47,-84.6446065554,39.637310224400004
3911066,73.0,Campbell,Ohio,39,6449,25,-80.5903226861,41.077709794499995
3911150,45.0,Camp Dennison,Ohio,39,411,57,-84.2893753722,39.1964055953
3911304,116.0,Canal Fulton,Ohio,39,2419,25,-81.5886990496,40.8896452794
3911318,33.0,Canal Lewisville,Ohio,39,281,57,-81.840231966,40.2989474666
3911332,96.0,Canal Winchester,Ohio,39,3783,25,-82.8121441621,39.8431997375
3911334,99.0,Candlewood Lake,Ohio,39,2908,57,-82.776383646,40.6214260571
3911360,87.0,Canfield,Ohio,39,3517,25,-80.7671315219,41.0314325275
3912000,3059.0,Canton,Ohio,39,39838,25,-81.3677597454,40.8075732142
3912056,23.0,Carbon Hill,Ohio,39,217,57,-82.2425616268,39.5020610403
3912084,68.0,Cardington,Ohio,39,1239,47,-82.8936498086,40.4979839945
3912112,201.0,Carey,Ohio,39,2186,47,-83.3826896487,40.949884150500004
3912168,572.0,Carlisle,Ohio,39,2756,47,-84.32006441979999,39.5807292999
3912252,25.0,Carroll,Ohio,39,304,47,-82.703853486,39.7990697198
3912280,75.0,Carrollton,Ohio,39,2080,47,-81.09004906140001,40.580362213600004
3912462,4.0,Casstown,Ohio,39,139,47,-84.1285132591,40.0527673999
3912476,47.0,Castalia,Ohio,39,528,47,-82.8080589896,41.400987772600004
3912504,6.0,Castine,Ohio,39,71,47,-84.6247177425,39.9310425502
3912700,6.0,Cecil,Ohio,39,20,47,-84.60173993869999,41.2190785203
3912784,94.0,Cedarville,Ohio,39,899,47,-83.8108141005,39.7469640517
3912868,188.0,Celina,Ohio,39,4866,25,-84.5628012294,40.555130634099996
3913036,19.0,Centerburg,Ohio,39,854,47,-82.6975040257,40.3034983613
3913169,6.0,Centerville,Ohio,39,101,47,-82.4457749916,38.897874028000004
3913190,252.0,Centerville,Ohio,39,10892,25,-84.14492504020001,39.6338920226
3913358,188.0,Chagrin Falls,Ohio,39,2135,47,-81.3886838966,41.4319927445
3913484,121.0,Champion Heights,Ohio,39,3311,57,-80.8513800694,41.3031090335
3913554,85.0,Chardon,Ohio,39,2585,25,-81.20812577470001,41.5802530221
3913694,21.0,Chatfield,Ohio,39,216,47,-82.9413682318,40.9518256888
3913778,514.0,Chauncey,Ohio,39,778,47,-82.1260521474,39.4005231383
3913834,8.0,Cherry Fork,Ohio,39,122,57,-83.612551065,38.88715422
3913848,23.0,Cherry Grove,Ohio,39,1718,57,-84.3219679283,39.0802280904
3913904,546.0,Chesapeake,Ohio,39,978,47,-82.4487142601,38.429816442399996
3913932,287.0,Cheshire,Ohio,39,311,47,-82.1130102443,38.9504091951
3914086,7.0,Chesterhill,Ohio,39,371,47,-81.8667140554,39.4907194153
3914100,61.0,Chesterland,Ohio,39,1271,57,-81.3362913265,41.5212589462
3914114,17.0,Chesterville,Ohio,39,199,47,-82.6817601689,40.477694999499995
3914128,231.0,Cheviot,Ohio,39,4037,25,-84.6138219519,39.1577420035
3914156,17.0,Chickasaw,Ohio,39,312,47,-84.4936375102,40.4365898756
3914184,1295.0,Chillicothe,Ohio,39,12174,25,-82.9936874178,39.3393216798
3914226,238.0,Chilo,Ohio,39,240,47,-84.13731885850001,38.793398108299996
3914254,81.0,Chippewa Lake,Ohio,39,685,47,-81.9046829116,41.0737045869
3914280,47.0,Chippewa Park,Ohio,39,2305,57,-83.8875252811,40.5160366442
3914288,26.0,Choctaw Lake,Ohio,39,844,57,-83.4877438731,39.9607818564
3914296,13.0,Christiansburg,Ohio,39,373,47,-84.0255355105,40.0567472735
3914324,100.0,Churchill,Ohio,39,2122,57,-80.66597612,41.1691831771
3915000,16552.0,Cincinnati,Ohio,39,163759,25,-84.5059743104,39.1411633528
3915008,109.0,Cinnamon Lake,Ohio,39,1789,57,-82.191344984,40.9835087642
3915070,421.0,Circleville,Ohio,39,5770,25,-82.9334493745,39.606139937600005
3915210,330.0,Clarington,Ohio,39,459,47,-80.86477536529999,39.7763214514
3915336,26.0,Clarksburg,Ohio,39,296,47,-83.1540809,39.5058983201
3915406,104.0,Clarksville,Ohio,39,360,47,-83.9828279717,39.4016463055
3915434,295.0,Clarktown,Ohio,39,753,57,-82.90853620909999,38.8497961616
3915588,4.0,Clay Center,Ohio,39,204,47,-83.3642872305,41.5732267797
3915644,341.0,Clayton,Ohio,39,6314,25,-84.3291704181,39.8689148555
3916000,6609.0,Cleveland,Ohio,39,170702,25,-81.6802294933,41.4792632806
3916014,373.0,Cleveland Heights,Ohio,39,16849,25,-81.5635743025,41.5112376315
3916028,227.0,Cleves,Ohio,39,1856,47,-84.746363851,39.1632565409
3916056,18.0,Clifton,Ohio,39,162,47,-83.8257486416,39.7971288361
3916182,76.0,Clinton,Ohio,39,918,47,-81.6305540028,40.928384955700004
3916266,6.0,Cloverdale,Ohio,39,196,47,-84.30367294060001,41.0192470695
3916308,209.0,Clyde,Ohio,39,2976,25,-82.9781462902,41.304490523000005
3916378,733.0,Coal Grove,Ohio,39,1882,47,-82.6423191916,38.497620062399996
3916434,189.0,Coalton,Ohio,39,572,47,-82.6108110676,39.1117567245
3916521,102.0,Coldstream,Ohio,39,840,57,-84.347350064,39.0479871156
3916532,34.0,Coldwater,Ohio,39,2180,47,-84.631669611,40.483300438200004
3916700,48.0,College Corner,Ohio,39,243,47,-84.8108708098,39.5682633491
3916784,26.0,Collins,Ohio,39,502,57,-82.4914793667,41.2508315335
3917036,162.0,Columbiana,Ohio,39,4271,25,-80.6749037167,40.8870979594
3918000,10609.0,Columbus,Ohio,39,275876,25,-82.98512577529999,39.9860265796
3918014,326.0,Columbus Grove,Ohio,39,1425,47,-84.0594601463,40.9190327041
3918070,50.0,Commercial Point,Ohio,39,946,47,-83.0621292774,39.7723675198
3918244,10.0,Concorde Hills,Ohio,39,281,57,-84.35708302479999,39.2106242546
3918266,35.0,Conesville,Ohio,39,251,47,-81.8917884839,40.184997332600005
3918308,20.0,Congress,Ohio,39,146,47,-82.0558579832,40.9251808325
3918350,369.0,Conneaut,Ohio,39,8432,25,-80.5685300732,41.9277873847
3918420,78.0,Connorville,Ohio,39,133,57,-80.7176064385,40.1937018702
3918504,3.0,Continental,Ohio,39,914,47,-84.2692261559,41.0997068853
3918546,28.0,Convoy,Ohio,39,599,47,-84.7052877637,40.9179050984
3918588,33.0,Coolville,Ohio,39,493,47,-81.7978087556,39.2201372459
3918770,215.0,Corning,Ohio,39,795,47,-82.0875665737,39.6016714787
3918812,126.0,Cortland,Ohio,39,2895,25,-80.7191880547,41.331794758
3918840,10.0,Corwin,Ohio,39,293,47,-84.0677369622,39.5248493507
3918868,852.0,Coshocton,Ohio,39,6814,25,-81.8479214462,40.261843896900004
3919008,185.0,Covedale,Ohio,39,3206,57,-84.6361423039,39.1266478263
3919050,130.0,Covington,Ohio,39,1445,47,-84.3508666882,40.1173843469
3919106,12.0,Craig Beach,Ohio,39,1774,47,-80.9827196286,41.115989837
3919330,308.0,Crestline,Ohio,39,3042,47,-82.7455556549,40.7835608565
3919344,40.0,Creston,Ohio,39,1114,47,-81.9000175703,40.976337490300004
3919400,29.0,Cridersville,Ohio,39,748,47,-84.145998532,40.6512390197
3919456,196.0,Crooksville,Ohio,39,1365,47,-82.0955425959,39.7691630356
3919554,104.0,Crown City,Ohio,39,351,47,-82.2911233354,38.589964673699996
3919596,81.0,Crystal Lakes,Ohio,39,1194,57,-84.0242796883,39.886238413
3919694,40.0,Cumberland,Ohio,39,326,47,-81.6587225732,39.853280670100006
3919736,93.0,Curtice,Ohio,39,870,57,-83.37427021069999,41.6159110883
3919750,7.0,Custar,Ohio,39,252,47,-83.8438097037,41.2845958994
3919778,677.0,Cuyahoga Falls,Ohio,39,22375,25,-81.5206013451,41.1640865978
3919806,51.0,Cuyahoga Heights,Ohio,39,541,47,-81.6562143789,41.4350141507
3919820,55.0,Cygnet,Ohio,39,638,47,-83.64374371689999,41.2406824982
3919974,55.0,Dalton,Ohio,39,1082,47,-81.7037798436,40.799210332
3920030,10.0,Damascus,Ohio,39,331,57,-80.9523461387,40.9042323659
3920114,112.0,Danville,Ohio,39,707,47,-82.26071768930001,40.4470976319
3920198,31.0,Darbydale,Ohio,39,477,57,-83.1794731051,39.854470733
3920212,20.0,Darbyville,Ohio,39,150,47,-83.1138383016,39.6957230628
3920268,20.0,Darrtown,Ohio,39,348,57,-84.66903428319999,39.4974747359
3920366,22.0,Day Heights,Ohio,39,1267,57,-84.2274644081,39.1754985059
3921000,5527.0,Dayton,Ohio,39,88577,25,-84.19978704100001,39.779763288699996
3921266,37.0,Deer Park,Ohio,39,3358,25,-84.3975008936,39.203704165
3921308,2790.0,Defiance,Ohio,39,9571,25,-84.3659739587,41.2809567075
3921378,22.0,De Graff,Ohio,39,736,47,-83.9166533417,40.3126948591
3921434,693.0,Delaware,Ohio,39,14314,25,-83.0747246583,40.286642196500004
3921518,88.0,Delhi Hills,Ohio,39,2234,57,-84.6176268708,39.0870896948
3921560,30.0,Dellroy,Ohio,39,302,47,-81.1992189539,40.5550330089
3921602,194.0,Delphos,Ohio,39,3267,25,-84.3368336633,40.8479948326
3921610,33.0,Delshire,Ohio,39,1133,57,-84.5949619348,39.0884946491
3921616,98.0,Delta,Ohio,39,1462,47,-84.0050279529,41.5752923824
3921714,185.0,Dennison,Ohio,39,1596,47,-81.3273716933,40.3972080729
3921742,172.0,Dent,Ohio,39,5635,57,-84.6593006449,39.1921920398
3921784,5.0,Derby,Ohio,39,255,57,-83.206807728,39.7640188906
3921812,190.0,Deshler,Ohio,39,984,47,-83.9055477978,41.2074491117
3921868,642.0,Devola,Ohio,39,2215,57,-81.4679857513,39.4739129842
3921910,23.0,Dexter City,Ohio,39,157,47,-81.4738808705,39.6592656168
3922008,55.0,Dillonvale,Ohio,39,1675,57,-84.40303743310001,39.2172304317
3922022,470.0,Dillonvale,Ohio,39,631,47,-80.7756594607,40.198532072
3922260,6.0,Dola,Ohio,39,203,57,-83.6989324665,40.7847696937
3922288,13.0,Donnelsville,Ohio,39,167,47,-83.9431989242,39.9159345558
3922456,840.0,Dover,Ohio,39,6207,25,-81.4805579181,40.5303165403
3922568,21.0,Doylestown,Ohio,39,1590,47,-81.695719585,40.969852658200004
3922610,178.0,Dresden,Ohio,39,972,47,-82.0130444839,40.121985865999996
3922624,69.0,Drexel,Ohio,39,2272,57,-84.29303370859999,39.738161536999996
3922660,67.0,Dry Ridge,Ohio,39,1746,57,-84.6338695283,39.2587263091
3922674,140.0,Dry Run,Ohio,39,3028,57,-84.3307584901,39.104735812600005
3922694,638.0,Dublin,Ohio,39,17664,25,-83.1452237442,40.111165801
3922820,160.0,Duncan Falls,Ohio,39,779,57,-81.911200285,39.8777249051
3922848,5.0,Dundee,Ohio,39,191,57,-81.6069405985,40.586814944699995
3922946,13.0,Dunkirk,Ohio,39,786,47,-83.6429787144,40.7879716829
3922960,79.0,Dunlap,Ohio,39,1102,57,-84.63024625770001,39.2908113275
3922974,8.0,Dupont,Ohio,39,315,47,-84.3010037716,41.054667480300004
3923324,47.0,East Canton,Ohio,39,926,47,-81.2836629295,40.7889831103
3923380,672.0,East Cleveland,Ohio,39,7247,25,-81.5795004324,41.5317801343
3923534,38.0,East Fultonham,Ohio,39,375,57,-82.1220889377,39.8471827793
3923618,864.0,Eastlake,Ohio,39,8968,25,-81.4322439303,41.6582518635
3923702,26.0,East Liberty,Ohio,39,264,57,-83.585018623,40.3339377613
3923730,1694.0,East Liverpool,Ohio,39,9814,25,-80.56777010260001,40.633246228800004
3923940,398.0,East Palestine,Ohio,39,3045,47,-80.5466076962,40.839067191
3924024,14.0,East Rochester,Ohio,39,169,57,-81.0399374278,40.7494853865
3924052,92.0,East Sparta,Ohio,39,550,47,-81.36270489399999,40.6637061429
3924066,1.0,East Springfield,Ohio,39,241,57,-80.8599239718,40.4473881147
3924234,157.0,Eaton,Ohio,39,4128,25,-84.6342166845,39.750616876900004
3924262,18.0,Eaton Estates,Ohio,39,495,57,-82.0114318772,41.3060784856
3924486,35.0,Edgerton,Ohio,39,1052,47,-84.7496590936,41.4497260131
3924542,228.0,Edgewood,Ohio,39,2590,57,-80.74604540909999,41.8783951985
3924598,16.0,Edison,Ohio,39,381,47,-82.8631909766,40.5582543612
3924640,49.0,Edon,Ohio,39,576,47,-84.7695521257,41.556145496199996
3924766,1.0,Eldorado,Ohio,39,389,47,-84.67533082899999,39.9042563693
3924794,1.0,Elgin,Ohio,39,68,47,-84.47600182859999,40.7425642651
3924808,35.0,Elida,Ohio,39,927,47,-84.1996567642,40.786770580100004
3924850,43.0,Elizabethtown,Ohio,39,258,57,-84.803876422,39.162007022800005
3925144,39.0,Elmore,Ohio,39,850,47,-83.29118526229999,41.4705661981
3925186,555.0,Elmwood Place,Ohio,39,1328,47,-84.48887639029999,39.1854493544
3925256,898.0,Elyria,Ohio,39,24193,25,-82.10628456939999,41.376117589699994
3925368,324.0,Empire,Ohio,39,330,47,-80.62611774199999,40.5116853177
3925396,117.0,Englewood,Ohio,39,5978,25,-84.3070461041,39.8643491156
3925452,123.0,Enon,Ohio,39,1067,47,-83.9329853455,39.8653505186
3925676,6.0,Etna,Ohio,39,492,57,-82.6878157129,39.954218154
3925704,407.0,Euclid,Ohio,39,19564,25,-81.5190161111,41.5923513731
3925802,243.0,Evendale,Ohio,39,1826,47,-84.42646341439999,39.2507571451
3925914,397.0,Fairborn,Ohio,39,14038,25,-84.00928296890001,39.8010803881
3925942,160.0,Fairfax,Ohio,39,1412,47,-84.397109638,39.1432003236
3925970,626.0,Fairfield,Ohio,39,15770,25,-84.54046683029999,39.330090736500004
3926110,76.0,Fairfield Beach,Ohio,39,1662,57,-82.4791167633,39.9182632136
3926166,126.0,Fairlawn,Ohio,39,3310,25,-81.621270035,41.1269548696
3926306,169.0,Fairport Harbor,Ohio,39,1655,47,-81.273103366,41.7476033418
3926348,3.0,Fairview,Ohio,39,170,47,-81.2349390692,40.0573487751
3926446,101.0,Fairview Park,Ohio,39,7023,25,-81.85297035020001,41.4419756634
3926656,24.0,Farmersville,Ohio,39,545,47,-84.42743113649999,39.678702974299995
3926768,39.0,Fayette,Ohio,39,668,47,-84.3283319716,41.672851841399996
3926796,12.0,Fayetteville,Ohio,39,425,47,-83.93174909,39.1848357288
3927048,1705.0,Findlay,Ohio,39,16380,25,-83.6379243643,41.046713229699996
3927104,259.0,Finneytown,Ohio,39,6461,57,-84.5145493888,39.2159501946
3927303,27.0,Five Points,Ohio,39,909,57,-84.1867815495,39.5594861222
3927356,15.0,Flat Rock,Ohio,39,149,57,-82.8591567535,41.2354900925
3927412,100.0,Fletcher,Ohio,39,422,47,-84.1118739063,40.1417880617
3927538,168.0,Florida,Ohio,39,188,47,-84.2002094208,41.3237872492
3927552,29.0,Flushing,Ohio,39,716,47,-81.0643736694,40.148162136399996
3927636,69.0,Forest,Ohio,39,1229,47,-83.51154493029999,40.8051955476
3927706,127.0,Forest Park,Ohio,39,6336,25,-84.52569497430001,39.2860197053
3927776,229.0,Forestville,Ohio,39,4691,57,-84.3388789068,39.0711315992
3927818,12.0,Fort Jennings,Ohio,39,427,47,-84.2996232857,40.9064495767
3927832,69.0,Fort Loramie,Ohio,39,962,47,-84.3695144414,40.3442451876
3927902,153.0,Fort Recovery,Ohio,39,949,47,-84.7759052299,40.4110850442
