fsid,count,name,state_name,state_fsid,properties,lsad,longitude,latitude
3900142,419.0,Aberdeen,Ohio,39,1085,47,-83.7702682621,38.6711312365
3900198,44.0,Ada,Ohio,39,2151,47,-83.8252418871,40.7679843588
3900436,209.0,Addyston,Ohio,39,947,47,-84.7102945417,39.136995614899995
3900450,7.0,Adelphi,Ohio,39,256,47,-82.7456326248,39.4646265816
3900464,356.0,Adena,Ohio,39,719,47,-80.8762096976,40.2166633701
3901000,4308.0,Akron,Ohio,39,95247,25,-81.5219194246,41.0801445446
3901042,28.0,Albany,Ohio,39,788,47,-82.1976928023,39.224430187399996
3901154,15.0,Alexandria,Ohio,39,250,47,-82.6119636124,40.090025893
3901210,32.0,Alger,Ohio,39,617,47,-83.8440305586,40.7094391637
3901420,287.0,Alliance,Ohio,39,11417,25,-81.1189162342,40.9107159371
3901588,12.0,Alvordton,Ohio,39,273,57,-84.4346788027,41.6646674893
3901630,28.0,Amanda,Ohio,39,429,47,-82.742152907,39.6501626997
3901672,72.0,Amberley,Ohio,39,1990,47,-84.4283228206,39.203321885
3901742,42.0,Amelia,Ohio,39,2173,47,-84.2183219245,39.0228892704
3901784,161.0,Amesville,Ohio,39,232,47,-81.9549569159,39.4014869595
3901798,285.0,Amherst,Ohio,39,6520,25,-82.2303462581,41.402245160700005
3901938,142.0,Amsterdam,Ohio,39,419,47,-80.9216882336,40.471733496999995
3902022,15.0,Andersonville,Ohio,39,381,57,-83.0189612592,39.4338979638
3902050,47.0,Andover,Ohio,39,684,47,-80.5686863544,41.6065505523
3902092,42.0,Anna,Ohio,39,876,47,-84.1759014136,40.3957944122
3902120,30.0,Ansonia,Ohio,39,544,47,-84.6343978644,40.214114529899994
3902232,71.0,Apple Creek,Ohio,39,641,47,-81.8334454941,40.7487078721
3902266,378.0,Apple Valley,Ohio,39,6820,57,-82.3481179362,40.4388743548
3902274,59.0,Aquilla,Ohio,39,969,47,-81.1730641453,41.5465227109
3902316,107.0,Arcadia,Ohio,39,429,47,-83.5146172275,41.1079094505
3902330,34.0,Arcanum,Ohio,39,1142,47,-84.5543227112,39.9923083935
3902344,97.0,Archbold,Ohio,39,2154,47,-84.30348188890001,41.5160696329
3902400,93.0,Arlington,Ohio,39,735,47,-83.65295362810001,40.8938837297
3902428,184.0,Arlington Heights,Ohio,39,585,47,-84.4555027109,39.2151835294
3902568,575.0,Ashland,Ohio,39,9859,25,-82.3156548389,40.8668689662
3902582,1.0,Ashley,Ohio,39,545,47,-82.9516526941,40.409805431100004
3902638,518.0,Ashtabula,Ohio,39,10983,25,-80.798365308,41.880479403
3902680,20.0,Ashville,Ohio,39,1689,47,-82.957497418,39.7238891383
3902722,320.0,Athalia,Ohio,39,349,47,-82.3095555096,38.5127012216
3902736,3251.0,Athens,Ohio,39,7461,25,-82.0988999333,39.3268157121
3902820,13.0,Attica,Ohio,39,591,47,-82.8871418678,41.0634765633
3902848,24.0,Atwater,Ohio,39,518,57,-81.16220234560001,41.0265630417
3903086,315.0,Aurora,Ohio,39,6509,25,-81.3450138915,41.3118500761
3903142,20.0,Austinburg,Ohio,39,254,57,-80.8556041131,41.7691687802
3903184,297.0,Austintown,Ohio,39,13506,57,-80.7404759013,41.0932129473
3903352,984.0,Avon,Ohio,39,10783,25,-82.01873952060001,41.4485234653
3903464,386.0,Avon Lake,Ohio,39,13585,25,-82.0160749025,41.4945027443
3903562,20.0,Bailey Lakes,Ohio,39,295,47,-82.3569662522,40.9489956843
3903585,38.0,Bainbridge,Ohio,39,1789,57,-81.3365506496,41.3944474728
3903604,158.0,Bainbridge,Ohio,39,665,47,-83.2695616882,39.2264638135
3903646,56.0,Bairdstown,Ohio,39,225,47,-83.6072888088,41.171184289
3903716,116.0,Ballville,Ohio,39,1610,57,-83.1367187178,41.326948726
3903744,149.0,Baltic,Ohio,39,460,47,-81.701556581,40.4436883928
3903758,123.0,Baltimore,Ohio,39,1494,47,-82.6046898464,39.8459100959
3903786,7.0,Bannock,Ohio,39,152,57,-80.9755591506,40.1042590648
3903828,1396.0,Barberton,Ohio,39,13808,25,-81.603658608,41.0095736444
3903926,79.0,Barnesville,Ohio,39,3062,47,-81.172752085,39.9887839016
3903940,85.0,Barnhill,Ohio,39,239,47,-81.3679074946,40.4496626073
